"","V1","V2","V3","V4","V5","V6"
"1",1,0.97,0.8,1,0.98,0.8
"2",1,0.97,0.8,1,0.98,0.8
"3",1.07,0.96,0.85,1.1,0.98,0.86
"4",1.07,0.96,0.85,1.1,0.98,0.86
"5",1.12,0.96,0.87,1.63,0.95,0.92
"6",1.09,0.96,0.85,1.39,0.96,0.88
"7",1.21,0.96,0.96,1.17,0.98,0.91
