"","epoch","Middle layers","Number of nodes","Validation","Loss","Batch normalization"
"88",28,"1 layer","medium","Validation error",24.4428176879883,TRUE
"89",29,"1 layer","medium","Validation error",24.1668376922607,TRUE
"90",30,"1 layer","medium","Validation error",24.5654773712158,TRUE
"91",1,"1 layer","medium large","Validation error",31.6661739349365,TRUE
"92",2,"1 layer","medium large","Validation error",26.848030090332,TRUE
"93",3,"1 layer","medium large","Validation error",26.2187480926514,TRUE
"94",4,"1 layer","medium large","Validation error",26.4363803863525,TRUE
"95",5,"1 layer","medium large","Validation error",24.9033851623535,TRUE
"96",6,"1 layer","medium large","Validation error",25.8188781738281,TRUE
"97",7,"1 layer","medium large","Validation error",25.448314666748,TRUE
"98",8,"1 layer","medium large","Validation error",24.9674854278564,TRUE
"99",9,"1 layer","medium large","Validation error",24.2592735290527,TRUE
"100",10,"1 layer","medium large","Validation error",24.7841949462891,TRUE
"101",11,"1 layer","medium large","Validation error",24.1186447143555,TRUE
"102",12,"1 layer","medium large","Validation error",25.1575317382812,TRUE
"103",13,"1 layer","medium large","Validation error",25.0927314758301,TRUE
"104",14,"1 layer","medium large","Validation error",25.6221733093262,TRUE
"105",15,"1 layer","medium large","Validation error",24.3623638153076,TRUE
"106",16,"1 layer","medium large","Validation error",24.3306713104248,TRUE
"107",17,"1 layer","medium large","Validation error",24.3236656188965,TRUE
"108",18,"1 layer","medium large","Validation error",24.4138355255127,TRUE
"109",19,"1 layer","medium large","Validation error",24.1653213500977,TRUE
"110",20,"1 layer","medium large","Validation error",24.6998310089111,TRUE
"111",21,"1 layer","medium large","Validation error",24.9669399261475,TRUE
"112",22,"1 layer","medium large","Validation error",25.368989944458,TRUE
"113",23,"1 layer","medium large","Validation error",26.2608432769775,TRUE
"114",24,"1 layer","medium large","Validation error",25.969669342041,TRUE
"115",25,"1 layer","medium large","Validation error",25.4456977844238,TRUE
"116",26,"1 layer","medium large","Validation error",24.0419216156006,TRUE
"117",27,"1 layer","medium large","Validation error",24.9861354827881,TRUE
"118",28,"1 layer","medium large","Validation error",24.5398864746094,TRUE
"119",29,"1 layer","medium large","Validation error",24.6708087921143,TRUE
"120",30,"1 layer","medium large","Validation error",23.5150127410889,TRUE
"121",1,"1 layer","medium small","Validation error",74.3219985961914,TRUE
"122",2,"1 layer","medium small","Validation error",26.3031387329102,TRUE
"123",3,"1 layer","medium small","Validation error",26.0356159210205,TRUE
"124",4,"1 layer","medium small","Validation error",26.1814880371094,TRUE
"125",5,"1 layer","medium small","Validation error",26.030834197998,TRUE
"126",6,"1 layer","medium small","Validation error",25.6942558288574,TRUE
"127",7,"1 layer","medium small","Validation error",26.2312030792236,TRUE
"128",8,"1 layer","medium small","Validation error",25.4125537872314,TRUE
"129",9,"1 layer","medium small","Validation error",25.1747283935547,TRUE
"130",10,"1 layer","medium small","Validation error",25.2046909332275,TRUE
"131",11,"1 layer","medium small","Validation error",25.350248336792,TRUE
"132",12,"1 layer","medium small","Validation error",25.4262390136719,TRUE
"133",13,"1 layer","medium small","Validation error",25.7784786224365,TRUE
"134",14,"1 layer","medium small","Validation error",25.487377166748,TRUE
"135",15,"1 layer","medium small","Validation error",25.1313285827637,TRUE
"136",16,"1 layer","medium small","Validation error",24.8884220123291,TRUE
"137",17,"1 layer","medium small","Validation error",25.2404460906982,TRUE
"138",18,"1 layer","medium small","Validation error",25.3963794708252,TRUE
"139",19,"1 layer","medium small","Validation error",25.4046840667725,TRUE
"140",20,"1 layer","medium small","Validation error",25.5076999664307,TRUE
"141",21,"1 layer","medium small","Validation error",24.8367176055908,TRUE
"142",22,"1 layer","medium small","Validation error",25.071756362915,TRUE
"143",23,"1 layer","medium small","Validation error",25.1279220581055,TRUE
"144",24,"1 layer","medium small","Validation error",24.8930759429932,TRUE
"145",25,"1 layer","medium small","Validation error",25.7379703521729,TRUE
"146",26,"1 layer","medium small","Validation error",24.9424858093262,TRUE
